Songs,Artists,Key,Tags,Works
天ノ弱,164 feat. gumi,-3,ボカロ,
だんだん早くなる,40mP,0,ボカロ,
からくりピエロ,40mP feat.初音ミク,0,ボカロ,
恋愛裁判,40mP feat.初音ミク,0,ボカロ,
Hello,Adele,0,洋楽,
when we were young,Adele,0,洋楽,
Rolling in the Deep,Adele,0,洋楽,
Someone like you,Adele,0,洋楽,
Easy on me,Adele,0,洋楽,
うっせぇわ,Ado,0,J-POP,
ウタカタララバイ,Ado,0,J-POP,
逆光,Ado,0,J-POP,
私は最強,Ado,0,J-POP,
新時代,Ado,0,J-POP,
世界の続き,Ado,0,J-POP,
風のゆくえ,Ado,0,J-POP,
ギラギラ,Ado,0,J-POP,
唱,Ado,0,J-POP,
レディメイド,Ado,0,J-POP,
阿修羅ちゃん,Ado,0,J-POP,
Tot Musica,Ado,0,J-POP,
罪と罰,Ado,0,J-POP,
踊,Ado,0,J-POP,
夜のピエロ,Ado,0,J-POP,
Do You Wnat to Build a Snowman?,"Agatha Lee Monn, Katie Lopez, and Kristen Bell ",0,"洋楽, ディズニー",Frozen
ボーイフレンド,aiko,0,J-POP,
ストロー,AIKO,0,J-POP,
カブトムシ,AIKO,0,J-POP,
花火,AIKO,0,J-POP,
蝶々結び,Aimer,0,J-POP,
カタオモイ,Aimer,0,J-POP,
かくれんぼ,AliA,0,J-POP,
季節は次々死んでいく,amazarashi,0,J-POP,
1.0,amazarashi,0,J-POP,
空に歌えば,amazarashi,3,J-POP,
帰ってこいよ,Amazarashi,0,J-POP,
Manual,Anly,0,J-POP,
カラノココロ,Anly,0,J-POP,
太陽に笑え,Anly,0,J-POP,
2002,Anne-Marie,0,洋楽,
Then,Anne-Marie,0,洋楽,
FRIENDS,Anne-Marie and Marshmello,0,洋楽,
Break Free (ft. Zedd),Ariana Grande,0,洋楽,
One Last Time,Ariana Grande,0,洋楽,
"Thank U, Next",Ariana Grande,0,洋楽,
Santa Tell Me,Ariana Grande,0,洋楽,
How Far I'll go,Auliʻi Cravalho,0,洋楽,Moana
Complicated,Avril Lavigne,0,洋楽,
Girlfriend,Avril Lavigne,0,洋楽,
高嶺の花子さん,back number,0,J-POP,
瞬き,back number,0,J-POP,
水平線,back number,2,J-POP,
クリスマスソング,back number,0,J-POP,
Beautiful things,Benson Boone,0,洋楽,
Magbalik,Callilay,4,日 英以外,
Biblical ,Calum Scott,0,洋楽,
You Are the Reason,Calum Scott,0,洋楽,
No Matter What,Calum Scott,0,洋楽,
Call Me Maybe,Carly Rae Jepsen,0,洋楽,
One Call Away,Charlie Puth,0,洋楽,
グッバイ宣言,Chinozo,0,ボカロ,
Sky Full of Stars,Coldplay,0,洋楽,SING
Defying gravity,Cynthia Erivo,0,"洋楽, ミュージカル",
ゴーストルール,DECO*27,-3,ボカロ,
モニタリング,DECO*27,0,ボカロ,
ヒバナ,DECO*27,0,ボカロ,
妄想感傷代償連盟,DECO*27,0,ボカロ,
ヴァンパイア,DECO*27,0,ボカロ,
乙女解剖,DECO*27,0,ボカロ,
ハッピーシンセサイザ,EasyPop feat.巡音ルカ・GUMI,0,ボカロ,
Afterglow,Ed Sheeran,0,洋楽,
Castle on the Hill,Ed Sheeran,0,洋楽,
Perfect,Ed Sheeran,4,洋楽,
Photograph,Ed Sheeran,-2,洋楽,
Bad Habit,Ed Sheeran,0,洋楽,
Shivers,Ed Sheeran,0,洋楽,
Galway Girl,Ed Sheeran,0,洋楽,
Thinking Out Loud,Ed Sheeran,-1,洋楽,
Happier,Ed Sheeran,,洋楽,
Supermarket flowers,Ed Sheeran,5,洋楽,
心做し,GUMI,-2,ボカロ,
366日,H.Y.,0,J-POP,
Satisfied,Hamilton,0,"洋楽, ミュージカル",
Wait for it,Hamilton,0,"洋楽, ミュージカル",
First burn,Hamilton,0,"洋楽, ミュージカル",
TIGER,HANA,0,J-POP,
Blue Jeans,HANA,0,J-POP,
ROSE,HANA,0,J-POP,
Bad Girl,HANA,0,J-POP,
NON STOP,HANA,0,J-POP,
Drop,HANA,0,J-POP,
Burning Flower,HANA,0,J-POP,
Let it go,Idina Menzel,0,"洋楽, ディズニー",Frozen
For The First Time in Forever,Idina Menzel and Kristen Bell,0,"洋楽, ディズニー",Frozen
Bones,Imagine Dragons,0,洋楽,
Believer,Imagine Dragons,0,洋楽,
Enemy,Imagine Dragons,0,洋楽,
Thunder,Imagine Dragons,0,洋楽,
夏夜のマジック,indigo la End,0,J-POP,
Part of Your World,Jodi Benson,0,ディズニー,The Little Mermaid
EYE,Kanaria,0,ボカロ,
酔いどれ知らず,Kanaria,0,ボカロ,
KING,Kanaria,0,ボカロ,
Fireworks,Katy Perry,0,洋楽,
Roar,Katy Perry,0,洋楽,
Last Friday Night,Katy Perry,0,洋楽,
Dark Horse,Katy Perry,0,洋楽,
六兆年と一夜物語,kemu,0,ボカロ,
愛して愛して愛して,kikuo,0,ボカロ,
白日,King Gnu,0,J-POP,
Love Is An Open Door,Kristen Bell and Santino Fontana,0,"ディズニー, 洋楽",Frozen
You say ,Lauren Daigle,2,洋楽,
Paris in the rain,Lauv,0,洋楽,
どうでもいい話がしたい,Leina,0,J-POP,
炎,Lisa,0,J-POP,
Good as Hell,Lizzo,0,洋楽,
おジャ魔女カーニバル,MAHO堂,0,アニメ,おジャ魔女どれみ
I see the light,"Mandy Moore, Zachary Levi",0,ディズニー,Tangled
Classic,MKTO,0,洋楽,
ケセラセラ,Mrs. Green Apple,0,J-POP,
ダンスホール,Mrs. Green Apple,0,J-POP,
ナハトムジーク,Mrs. Green Apple,0,J-POP,
春愁,Mrs. Green Apple ,3,J-POP,
点描の唄,Mrs. Green Apple ,0,J-POP,
僕のこと,Mrs. Green Apple ,0,J-POP,
Soranji,Mrs. Green Apple ,0,J-POP,
芝居,My hair is bad,0,J-POP,
恋人ができたんだ,My hair is bad,0,J-POP,
真赤,My hair is bad,0,J-POP,
魔法,Myuk,0,J-POP,
夜明けと蛍,n-buna feat.初音ミク,3,ボカロ,
ウミユリ海底譚,n-buna feat.初音ミク,3,ボカロ,
ラプンツェル,n-buna feat.初音ミク,4,ボカロ,
ツキミソウ,Novelbright,0,J-POP,
ノーダウト,Official髭男dism,0,J-POP,
I Love...,Official髭男dism,0,J-POP,
Pretender,Official髭男dism,0,J-POP,
Subtitle,Official髭男dism,0,J-POP,
Yesterday,Official髭男dism,0,J-POP,
宿命,Official髭男dism,0,J-POP,
Universe,Official髭男dism,0,J-POP,
One way ticket,ONE OK ROCK,0,J-POP,
Heartache,ONE OK ROCK,0,J-POP,
Liar,ONE OK ROCK,0,J-POP,
Broken Heart of Gold,ONE OK ROCK,0,J-POP,
Renegades,ONE OK ROCK,0,J-POP,
We Are,ONE OK ROCK,0,J-POP,
Wasted Nights,ONE OK ROCK,0,J-POP,
Stand Out Fit In,ONE OK ROCK,0,J-POP,
The Beginning,ONE OK ROCK,0,J-POP,
回る空うさぎ,Orangestar,0,ボカロ,
Fireflies,Owlcity,0,洋楽,
Goodtime,Owlcity,0,洋楽,
High Hopes,Panic! At The Disco,0,洋楽,
flos,R Sound Design,0,ボカロ,
帝国少女,R Sound Design,0,ボカロ,
Fight Song,Rachel Platten,0,洋楽,
そっけない,RADWIMPS,4,J-POP,
鋼の羽,RADWIMPS,0,J-POP,
スパークル,RADWIMPS,0,J-POP,
前前前世,RADWIMPS,0,J-POP,
いいんですか？,RADWIMPS,0,J-POP,
なんでもないや,RADWIMPS,0,J-POP,
me me she ,RADWIMPS,4,J-POP,
おしゃかしゃま,RADWIMPS,4,J-POP,
For the lover that I lost,Sam Smith,0,洋楽,
To die for,Sam Smith,0,洋楽,
Fire on fire,Sam Smith,0,洋楽,
Too good at goodbyes,Sam Smith,0,洋楽,
Stay with me,Sam Smith,0,洋楽,
I'm not the only one,Sam Smith,0,洋楽,
ルカルカ★ナイトフィーバー,SAM(samfree),0,ボカロ,
Set it all free,Scarlett Johansson,0,洋楽,
眠り姫,SEKAI NO OWARI,0,洋楽,
Lose You To Love Me,Selena Gomez,0,洋楽,
Back To You,Selena Gomez,0,洋楽,
Zoo,Shakira,0,"洋楽, ディズニー",Zootopia
Try Everything,Shakira,0,"洋楽, ディズニー",Zootopia
Way Back Home,Shaun,0,日英以外,
Chandelier,Sia,0,洋楽,
メリールー,SIX LOUNGE ,3,J-POP,
メルト,supercell feat.初音ミク,0,ボカロ,
W/X/Y,Tani Yuuki,4,J-POP,
I'm Still Standing,Taron Egerton,0,洋楽,SING
Betterman,Taylor Swift,-1,洋楽,
All too well,Taylor Swift,0,洋楽,
Enchanted,Taylor Swift,0,洋楽,
White horse,Taylor Swift,0,洋楽,
We are never ever getting back together,Taylor Swift,0,洋楽,
Everything has changed,Taylor Swift,0,洋楽,
Hey Stephen,Taylor Swift,0,洋楽,
Anti-Hero,Taylor Swift,0,洋楽,
tolerate it ,Taylor Swift,0,洋楽,
Daylight,Taylor Swift,0,洋楽,
Shake it off,Taylor Swift,0,洋楽,
Cruel Summer,Taylor Swift,0,洋楽,
22,Taylor Swift,0,洋楽,
unravel,TK from 凛として時雨,0,J-POP,
superball ,TOMOO,0,J-POP,
Don't You Worry 'Bout a Thing,Tori Kelly,0,洋楽,SING
晩餐歌,tuki.,0,J-POP,
最低界隈,tuki.,0,J-POP,
プロローグ,Uru,0,J-POP,
あなたがいることで,Uru,0,J-POP,
世界の秘密,Vaundy,2,J-POP,
東京フラッシュ,Vaundy,0,J-POP,
Napori,Vaundy,4,J-POP,
裸の勇者,Vaundy,0,J-POP,
踊り子,Vaundy,0,J-POP,
灯火,Vaundy,0,J-POP,
怪獣の花唄,Vaundy,0,J-POP,
不可幸力,Vaundy,0,J-POP,
Bye bye me,Vaundy,0,J-POP,
恋だろ,Wacci,3,J-POP,
別の人の彼女になったよ,Wacci,5,J-POP,
千本桜,WhiteFlame feat.初音ミク,0,ボカロ,
夜に駆ける,YOASOBI,0,J-POP,
アイドル,YOASOBI,0,J-POP,
A Whole New World,Zayn and Zhavia Ward,0,ディズニー,Aladdin
死にたい夜にかぎって,アイナ・ジ・エンド,2,J-POP,
革命道中,アイナ•ジ・エンド,0,J-POP,
愛を伝えたいだとか,あいみょん,0,J-POP,
マリーゴールド,あいみょん,0,J-POP,
裸の心,あいみょん,0,J-POP,
ハルノヒ,あいみょん,0,J-POP,
君はロックを聴かない,あいみょん,0,J-POP,
桜が降る夜は,あいみょん,0,J-POP,
貴方解剖純愛歌〜死ね〜,あいみょん,0,J-POP,
ハート,あいみょん,-2,J-POP,
愛の花,あいみょん,0,J-POP,
10月無口な君を忘れる,あたらよ,0,J-POP,
好きにさせたくせに。,あれくん,0,J-POP,
ばーか。,あれくん,0,J-POP,
手紙〜拝啓十五の君へ〜,アンジェラ・アキ,0,J-POP,
キンモクセイ,オレンジスパイニクラブ,3,J-POP,
ベノム,かいりきベア,0,ボカロ,
あの夏が飽和する,カンザキイオリ,-2,ボカロ,
命に嫌われている,カンザキイオリ,-3,ボカロ,
イノチミジカシコイセヨオトメ,クリープハイプ,0,J-POP,
二十九、三十,クリープハイプ,0,J-POP,
exダーリン,クリープハイプ,0,J-POP,
おやすみ泣き声、さよなら歌姫,クリープハイプ,0,J-POP,
憂、燦々,クリープハイプ,0,J-POP,
死ぬな!,こっちのけんと,0,J-POP,
たばこ,コレサワ,0,J-POP,
恋人失格,コレサワ,0,J-POP,
怪獣,サカナクション,0,J-POP,
サマータイムレコード,じん(自然のてきP) feat.IA,-2,ボカロ,
秒針を噛む,ずっと真夜中でいいのに。,0,J-POP,
美しい鰭,スピッツ,2,J-POP,
エゴロック,すりぃ,0,J-POP,
ジャンキーナイトタウンオーケストラ,すりぃ,3,ボカロ,
テレキャスタービーボーイ,すりぃ,0,ボカロ,
ラヴィ,すりぃ,0,ボカロ,
B級,ちゃんみな,0,J-POP,
美人,ちゃんみな,0,J-POP,
SAD SONG,ちゃんみな,0,J-POP,
ダリア,ちゃんみな,0,J-POP,
Never Grow Up,ちゃんみな,0,J-POP,
TOKYO 4AM,ちゃんみな,0,J-POP,
Pain is Beauty,ちゃんみな,0,J-POP,
I'm Not OK,ちゃんみな,0,J-POP,
ハレンチ,ちゃんみな,0,J-POP,
花火,ちゃんみな,0,J-POP,
ヴィラン,てにをは feat.flower,-3,ボカロ,
デリヘル呼んだら君が来た,ナナホシ管弦楽団,0,ボカロ,
エイリアンエイリアン,ナユタン星人,0,ボカロ,
ワンルーム,にしな,-2,J-POP,
ヘビースモーカー,にしな,0,J-POP,
命ばっかり,ぬゆり,0,ボカロ,
フィクサー,ぬゆり,0,ボカロ,
右肩の蝶,のりぴー feat.鏡音レン,0,ボカロ,
パンダヒーロー,ハチ,0,ボカロ,
砂の惑星,ハチ feat.初音ミク,0,ボカロ,
シャルル,バルーン,0,ボカロ,
雨とペトラ,バルーン,0,ボカロ,
悪魔の子,ヒグチアイ,-2,J-POP,
ガランド,ピコン,3,ボカロ,
神っぽいな,ピノキオピー,4,ボカロ,
ノンブレス・オブリージュ,ピノキオピー,0,ボカロ,
ブルーベリー・ナイツ,マカロニえんぴつ,0,J-POP,
なんでもないよ、,マカロニえんぴつ,0,J-POP,
少女レイ,みきとP,0,ボカロ,
ロキ,みきとP,0,ボカロ,
いーあるふぁんくらぶ,みきとP,0,ボカロ,
妄想疾患闇ガール ,もじゃ,0,ボカロ,
本当はね、,ヤングスキニー,0,J-POP,
強風オールバック,ゆこぴ,0,ボカロ,
夜行,ヨルシカ,0,J-POP,
春泥棒,ヨルシカ,0,J-POP,
風を食む,ヨルシカ,0,J-POP,
だから僕は音楽をやめた,ヨルシカ,-1,J-POP,
嘘月,ヨルシカ,0,J-POP,
ブレーメン,ヨルシカ,0,J-POP,
老人と海,ヨルシカ,0,J-POP,
又三郎,ヨルシカ,0,J-POP,
テレパス,ヨルシカ,,J-POP,
花に亡霊,ヨルシカ,,J-POP,
都落ち,ヨルシカ,,J-POP,
ただ君に晴れ,ヨルシカ,,J-POP,
あぶく,ヨルシカ,,"J-POP, アニメ",
斜陽,ヨルシカ,,J-POP,
言って。,ヨルシカ,,J-POP,
雨とカプチーノ,ヨルシカ,,J-POP,
ヒッチコック,ヨルシカ,,J-POP,
春ひさぎ,ヨルシカ,,J-POP,
晴る,ヨルシカ,,J-POP,
爆弾魔,ヨルシカ,,J-POP,
パレード,ヨルシカ,,J-POP,
アポリア,ヨルシカ,,J-POP,
チノカテ,ヨルシカ,,J-POP,
左右盲,ヨルシカ,,J-POP,
ノーチラス,ヨルシカ,,J-POP,
ルバート,ヨルシカ,,J-POP,
昼鳶,ヨルシカ,,J-POP,
アルジャーノン,ヨルシカ,,J-POP,
藍二乗,ヨルシカ,,J-POP,
思想犯,ヨルシカ,,J-POP,
火星人,ヨルシカ,,J-POP,
忘れてください,ヨルシカ,,J-POP,
オノマトペ,りりあ。,,J-POP,
浮気されたけどまだ好きって曲。,りりあ。,,J-POP,
脳漿炸裂ガール,れるりり feat.初音ミク&GUMI,,ボカロ,
三時のキス,ロクデナシ,,J-POP,
僕が死のうと思ったのは。,中島美嘉,,J-POP,
貴方の夜が明けるまで,傘村トータ,,ボカロ,
贖罪,傘村トータ,,ボカロ,
ドライフラワー,優里,,J-POP,
かくれんぼ,優里,,J-POP,
ベテルギウス,優里,,J-POP,
ピーターパン,優里,3,J-POP,
プロポーズ,内緒のピアス,-6,ボカロ,
寄り酔い,和ぬか,,J-POP,
ニア,夏代孝明,4,ボカロ,
ドラえもんのうた,大杉久美子,,"アニメ, J-POP",ドラえもん
のだ,大漠波新,,ボカロ,
はなびら,奥華子,,J-POP,
メフィスト,女王蜂,,J-POP,
First Love,宇多田ヒカル,,J-POP,
I LOVE YOU,尾崎豊,,J-POP,
魔法の絨毯,川崎鷹也,4,J-POP,
色は匂えど散りぬるを,幽閉サテライト,,J-POP,
明日への手紙,手嶋葵,,J-POP,
東京,手嶋葵,,J-POP,
オトナブルー,新しい学校のリーダーズ,,J-POP,
Stellar Stellar,星街すいせい,,J-POP,
高音厨音域テスト,木村わいP feat.初音ミク,,ボカロ,
中央フリーウェイ,松任谷由実,,J-POP,
ラブカ,柊キライ feat.flower,,ボカロ,
マーシャルマキシマイザー,柊マグネタイト,-4,ボカロ,
テトリス,柊マグネタイト,,ボカロ,
ベサメムーチョ,桂銀淑,,演歌・歌謡曲,
丸の内サディスティック,椎名林檎,,J-POP,
大迷惑星。,泣き虫,,J-POP,
Curtain call,清水翔太 feat. Taka,2,J-POP,
紗痲,煮ル果実,,ボカロ,
夜永歌,神はサイコロを振らない,2,J-POP,
ひまわりの約束,秦基博,3,J-POP,
鱗,秦基博,2,J-POP,
運命開花,空白ごっこ,,J-POP,
アイネクライネ,米津玄師,4,J-POP,
春雷,米津玄師,4,J-POP,
KICKBACK,米津玄師,3,"J-POP, アニメ",
Pale Blue,米津玄師,,J-POP,
LOSER,米津玄師,4,J-POP,
BOW AND ARROW ,米津玄師,4,"J-POP, アニメ",
IRIS OUT,米津玄師,,"J-POP, アニメ",
パプリカ,米津玄師,,J-POP,
main actor,美波,-2,J-POP,
カワキヲアメク,美波,,"J-POP, アニメ",
ライラック,美波,,J-POP,
Prologue,美波,,J-POP,
虹,菅田将暉,2,"J-POP, アニメ",
ダーリン,須田景凪,,J-POP,
残酷な天使のテーゼ,高橋洋子,,"J-POP, アニメ",